mix_id,R,f_FA,yCO2,w_SS,w_b,converged,pH,pCO2_bar,temperature_K,pressure_bar,C-S-H_1.0_mol,Calcite_mol,Ettringite_mol,Hydrotalcite_mol,Silica_gel_mol,C-S-H_1.0_kg,Calcite_kg,Ettringite_kg,Hydrotalcite_kg,Silica_gel_kg
MIX_0000,0.3,0.0,0.0,0.02,1.1,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.82813541,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0497543754328
MIX_0001,0.3,0.0,0.0,0.02,1.4,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.8290280299999999,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.049808004042399996
MIX_0002,0.3,0.0,0.0,0.02,1.7,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.82992065,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.049861632652000006
MIX_0003,0.3,0.0,0.0,0.02,2.0,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.8308132699999999,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.049915261261599994
MIX_0004,0.3,0.0,0.0,0.03,1.1,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.8364686000000001,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.050255033488000006
MIX_0005,0.3,0.0,0.0,0.03,1.4,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.8378213400000001,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0503363061072
MIX_0006,0.3,0.0,0.0,0.03,1.7,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.83917408,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.05041757872640001
MIX_0007,0.3,0.0,0.0,0.03,2.0,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.84052682,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.050498851345600004
MIX_0008,0.3,0.0,0.0,0.04,1.1,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.84497541,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0507661226328
MIX_0009,0.3,0.0,0.0,0.04,1.4,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.84679785,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.050875614828
MIX_0010,0.3,0.0,0.0,0.04,1.7,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.8486202899999999,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0509851070232
MIX_0011,0.3,0.0,0.0,0.04,2.0,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.8504427299999999,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0510945992184
MIX_0012,0.3,0.0,0.0,0.05,1.1,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.8536613,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.051287970904
MIX_0013,0.3,0.0,0.0,0.05,1.4,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.85596333,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0514262768664
MIX_0014,0.3,0.0,0.0,0.05,1.7,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.8582653600000001,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.051564582828800005
MIX_0015,0.3,0.0,0.0,0.05,2.0,True,10.5,0.0,298.15,1.01325,0.24767553,0.0,0.00854325,0.021444308999999998,0.8605673899999999,0.042104840100000006,0.0,0.010721778749999999,0.009499828887,0.0517028887912
MIX_0016,0.3,0.0,0.15,0.02,1.1,True,9.7400625,0.1519875,298.15,1.01325,0.2457543168075,0.0019212131924999998,0.00854325,0.021444308999999998,0.8300566231925,0.041778233857275006,0.000192294228437325,0.010721778749999999,0.009499828887,0.0498698019214054
MIX_0017,0.3,0.0,0.15,0.02,1.4,True,9.7400625,0.1519875,298.15,1.01325,0.245648237131875,0.002027292868125,0.00854325,0.021444308999999998,0.8310553228681249,0.041760200312418755,0.00020291174317063122,0.010721778749999999,0.009499828887,0.04992980379791694
MIX_0018,0.3,0.0,0.15,0.02,1.7,True,9.7400625,0.1519875,298.15,1.01325,0.24554215745625,0.0021333725437499996,0.00854325,0.021444308999999998,0.83205402254375,0.041742166767562504,0.00021352925790393745,0.010721778749999999,0.009499828887,0.049989805674428504
MIX_0019,0.3,0.0,0.15,0.02,2.0,True,9.7400625,0.1519875,298.15,1.01325,0.245436077780625,0.002239452219375,0.00854325,0.021444308999999998,0.8330527222193749,0.04172413322270625,0.00022414677263724373,0.010721778749999999,0.009499828887,0.050049807550940045
MIX_0020,0.3,0.0,0.15,0.03,1.1,True,9.7400625,0.1519875,298.15,1.01325,0.24574265176687501,0.0019328782331249998,0.00854325,0.021444308999999998,0.838401478233125,0.04177625080036876,0.00019346178235348123,0.010721778749999999,0.009499828887,0.05037116081224616
MIX_0021,0.3,0.0,0.15,0.03,1.4,True,9.7400625,0.1519875,298.15,1.01325,0.24563592614437502,0.0020396038556249997,0.00854325,0.021444308999999998,0.839860943855625,0.04175810744454376,0.00020414394990950622,0.010721778749999999,0.009499828887,0.050458845506845956
MIX_0022,0.3,0.0,0.15,0.03,1.7,True,9.7400625,0.1519875,298.15,1.01325,0.2455292043215625,0.0021463256784374995,0.00854325,0.021444308999999998,0.8413204056784376,0.04173996473466563,0.0002148257371548093,0.010721778749999999,0.009499828887,0.05054652997316053
MIX_0023,0.3,0.0,0.15,0.03,2.0,True,9.7400625,0.1519875,298.15,1.01325,0.24542248249875,0.00225304750125,0.00854325,0.021444308999999998,0.84277986750125,0.041721822024787504,0.0002255075244001125,0.010721778749999999,0.009499828887,0.0506342144394751
MIX_0024,0.3,0.0,0.15,0.04,1.1,True,9.7400625,0.1519875,298.15,1.01325,0.24573074354625002,0.0019447864537499998,0.00854325,0.021444308999999998,0.8469201964537499,0.041774226402862505,0.0001946536761558375,0.010721778749999999,0.009499828887,0.0508829654029413
MIX_0025,0.3,0.0,0.15,0.04,1.4,True,9.7400625,0.1519875,298.15,1.01325,0.24562336437750001,0.0020521656225,0.00854325,0.021444308999999998,0.8488500156225,0.041755971944175005,0.00020540125715602498,0.010721778749999999,0.009499828887,0.0509989089385998
MIX_0026,0.3,0.0,0.15,0.04,1.7,True,9.7400625,0.1519875,298.15,1.01325,0.2455159814090625,0.0021595485909374997,0.00854325,0.021444308999999998,0.8507798385909374,0.041737716839540626,0.00021614921846693436,0.010721778749999999,0.009499828887,0.05111485270254352
MIX_0027,0.3,0.0,0.15,0.04,2.0,True,9.7400625,0.1519875,298.15,1.01325,0.2454086022403125,0.0022669277596874997,0.00854325,0.021444308999999998,0.8527096577596874,0.041719462380853126,0.00022689679946712185,0.010721778749999999,0.009499828887,0.05123079623820202
MIX_0028,0.3,0.0,0.15,0.05,1.1,True,9.7400625,0.1519875,298.15,1.01325,0.24571858834593752,0.0019569416540624997,0.00854325,0.021444308999999998,0.8556182416540624,0.04177216001880938,0.0001958702901551156,0.010721778749999999,0.009499828887,0.05140554395857607
MIX_0029,0.3,0.0,0.15,0.05,1.4,True,9.7400625,0.1519875,298.15,1.01325,0.2456105328328125,0.0020649971671875,0.00854325,0.021444308999999998,0.8580283271671875,0.04175379058157813,0.00020668556646379684,0.010721778749999999,0.009499828887,0.051550341896204624
