mix_id,R,f_FA,yCO2,w_SS,w_b,converged,pH,pCO2_bar,num_phases,method,temperature_K,pressure_bar,CO2_fraction,pe,Eh,system_mass_kg,execution_time,input_file,input_Ca_mol,input_Si_mol,input_Al_mol,input_Fe_mol,input_Mg_mol,input_K_mol,input_Na_mol,input_S_mol,input_O_mol,input_H_mol,input_C_mol,phase_list,phase_C-S-H_1.0_mol,phase_C-S-H_1.0_kg,phase_Silica_gel_mol,phase_Silica_gel_kg,phase_Ettringite_mol,phase_Ettringite_kg,phase_Hydrotalcite_mol,phase_Hydrotalcite_kg,phase_Calcite_mol,phase_Calcite_kg,Ca_Si_ratio,total_solid_mass_kg,Calcite_mass_fraction,Ettringite_mass_fraction,Silica_gel_mass_fraction,Hydrotalcite_mass_fraction,C-S-H_1.0_mass_fraction,carbonation_degree
MIX_0000,0.3,0.0,0.0,0.02,1.1,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.1120808231698,4.839897155761719e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0000.inp,0.24767553,1.07581094,0.47117877,0.05585885,0.07148103,0.05860121,0.03134444,0.0512595,5.29186457,3.6635567,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.82813541,0.0497543754328,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.2302221707998041,0.1120808231698,,0.09566113485971302,0.4439151496329724,0.08475873579311684,0.3756649788219845,
MIX_0001,0.3,0.0,0.0,0.02,1.4,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.1121344517794,4.57763671875e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0001.inp,0.24767553,1.07670356,0.47117877,0.05585885,0.07148103,0.05860121,0.03307511,0.0512595,5.79409106,4.66270853,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.8290280299999999,0.049808004042399996,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.23003130961784587,0.1121344517794,,0.09561538465922333,0.444181098740004,0.08471819969492529,0.3754853160140608,
MIX_0002,0.3,0.0,0.0,0.02,1.7,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.11218808038900001,4.649162292480469e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0002.inp,0.24767553,1.07759618,0.47117877,0.05585885,0.07148103,0.05860121,0.03480579,0.0512595,6.29631759,5.6618604,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.82992065,0.049861632652000006,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.22984076463320047,0.11218808038900001,,0.09556967819813322,0.4444467935868545,0.08467770235119991,0.37530582497245213,
MIX_0003,0.3,0.0,0.0,0.02,2.0,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.1122417089986,3.719329833984375e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0003.inp,0.24767553,1.0784888,0.47117877,0.05585885,0.07148103,0.05860121,0.03653646,0.0512595,6.79854408,6.66101223,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.8308132699999999,0.049915261261599994,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.22965053506075814,0.11224170899859999,,0.09552401541374725,0.4447122345379771,0.08463724370639054,0.37512650545095083,
MIX_0004,0.3,0.0,0.0,0.03,1.1,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.11258148122500002,1.3589859008789062e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0004.inp,0.24767553,1.08414413,0.47117877,0.05585885,0.07148103,0.05860121,0.04750137,0.0512595,5.3166094,3.66355667,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.8364686000000001,0.050255033488000006,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.22845258589109801,0.11258148122500002,,0.09523572281882123,0.446388099503895,0.0843818075157131,0.3739943692733251,
MIX_0005,0.3,0.0,0.0,0.03,1.4,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.1126627538442,2.2172927856445312e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0005.inp,0.24767553,1.08549687,0.47117877,0.05585885,0.07148103,0.05860121,0.05012415,0.0512595,5.82020225,4.66270861,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.8378213400000001,0.0503363061072,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.22816788958330503,0.1126627538442,,0.09516702170541934,0.4467874638687666,0.0843209361960485,0.3737245773421608,
MIX_0006,0.3,0.0,0.0,0.03,1.7,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.11274402646340001,9.5367431640625e-06,/teamspace/studios/this_studio/inputs/generated/MIX_0006.inp,0.24767553,1.08684961,0.47117877,0.05585885,0.07148103,0.05860121,0.05274692,0.0512595,6.323795,5.6618604,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.83917408,0.05041757872640001,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.2278839019661714,0.11274402646340001,,0.09509841963973815,0.44718625246232796,0.08426015263573991,0.37345517437522907,
MIX_0007,0.3,0.0,0.0,0.03,2.0,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.11282529908260001,1.3828277587890625e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0007.inp,0.24767553,1.08820235,0.47117877,0.05585885,0.07148103,0.05860121,0.05536969,0.0512595,6.82738779,6.66101223,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.84052682,0.050498851345600004,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.22760062039678552,0.11282529908260001,,0.09502991640773348,0.447584466528833,0.08419945664513752,0.37318615953196993,
MIX_0008,0.3,0.0,0.0,0.04,1.1,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.1130925703698,1.3589859008789062e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0008.inp,0.24767553,1.09265094,0.47117877,0.05585885,0.07148103,0.05860121,0.0639949,0.0512595,5.34186983,3.66355677,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.84497541,0.0507661226328,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.22667397327945613,0.1130925703698,,0.09480533252945313,0.44888998828049875,0.08400046835558322,0.3723042099502336,
MIX_0009,0.3,0.0,0.0,0.04,1.4,True,10.5,0.0,4,simplified_thermodynamic_model,298.15,1.01325,0.0,4.0,0.24,0.11320206256500001,1.7642974853515625e-05,/teamspace/studios/this_studio/inputs/generated/MIX_0009.inp,0.24767553,1.09447338,0.47117877,0.05585885,0.07148103,0.05860121,0.06752836,0.0512595,5.84685736,4.6627086,0.0,"['C-S-H_1.0', 'Silica_gel', 'Ettringite', 'Hydrotalcite']",0.24767553,0.042104840100000006,0.84679785,0.050875614828,0.00854325,0.010721778749999999,0.021444308999999998,0.009499828887,,,0.22629653174147585,0.113202062565,,0.09471363416521011,0.44942303726882366,0.08391922075760173,0.3719441069249885,
