mix_id,R,f_FA,yCO2,w_SS,w_b,cement_mass_g,flyash_mass_g,gangue_mass_g,water_mass_g,sodium_silicate_mass_g,total_mass_g
MIX_0000,0.300000,0.000000,0.000000,0.020000,1.100000,30.000000,0.000000,100.000000,31.616163,3.326531,164.942694
MIX_0001,0.300000,0.000000,0.000000,0.020000,1.400000,30.000000,0.000000,100.000000,40.539755,3.510204,174.049959
MIX_0002,0.300000,0.000000,0.000000,0.020000,1.700000,30.000000,0.000000,100.000000,49.463347,3.693878,183.157224
MIX_0003,0.300000,0.000000,0.000000,0.020000,2.000000,30.000000,0.000000,100.000000,58.386939,3.877551,192.264490
MIX_0004,0.300000,0.000000,0.000000,0.030000,1.100000,30.000000,0.000000,100.000000,30.902845,5.041237,165.944082
MIX_0005,0.300000,0.000000,0.000000,0.030000,1.400000,30.000000,0.000000,100.000000,39.787052,5.319588,175.106639
MIX_0006,0.300000,0.000000,0.000000,0.030000,1.700000,30.000000,0.000000,100.000000,48.671258,5.597938,184.269196
MIX_0007,0.300000,0.000000,0.000000,0.030000,2.000000,30.000000,0.000000,100.000000,57.555464,5.876289,193.431753
MIX_0008,0.300000,0.000000,0.000000,0.040000,1.100000,30.000000,0.000000,100.000000,30.174667,6.791667,166.966333
MIX_0009,0.300000,0.000000,0.000000,0.040000,1.400000,30.000000,0.000000,100.000000,39.018667,7.166667,176.185333
MIX_0010,0.300000,0.000000,0.000000,0.040000,1.700000,30.000000,0.000000,100.000000,47.862667,7.541667,185.404333
MIX_0011,0.300000,0.000000,0.000000,0.040000,2.000000,30.000000,0.000000,100.000000,56.706667,7.916667,194.623333
MIX_0012,0.300000,0.000000,0.000000,0.050000,1.100000,30.000000,0.000000,100.000000,29.431158,8.578947,168.010105
MIX_0013,0.300000,0.000000,0.000000,0.050000,1.400000,30.000000,0.000000,100.000000,38.234105,9.052632,177.286737
MIX_0014,0.300000,0.000000,0.000000,0.050000,1.700000,30.000000,0.000000,100.000000,47.037053,9.526316,186.563368
MIX_0015,0.300000,0.000000,0.000000,0.050000,2.000000,30.000000,0.000000,100.000000,55.840000,10.000000,195.840000
MIX_0016,0.300000,0.000000,0.150000,0.020000,1.100000,30.000000,0.000000,100.000000,31.616163,3.326531,164.942694
MIX_0017,0.300000,0.000000,0.150000,0.020000,1.400000,30.000000,0.000000,100.000000,40.539755,3.510204,174.049959
MIX_0018,0.300000,0.000000,0.150000,0.020000,1.700000,30.000000,0.000000,100.000000,49.463347,3.693878,183.157224
