mix_id,R,f_FA,yCO2,w_SS,w_b,cement_mass_g,flyash_mass_g,gangue_mass_g,water_mass_g,sodium_silicate_mass_g,total_mass_g,Ca_mol,Si_mol,Al_mol,Fe_mol,Mg_mol,K_mol,Na_mol,S_mol,O_mol,H_mol,C_mol,total_element_mass_g,CO2_moles,input_mass,mass_balance_error
MIX_0000,0.30000000,0.00000000,0.00000000,0.02000000,1.10000000,30.00000000,0.00000000,100.00000000,31.61616300,3.32653100,164.94269400,0.24767553,1.07581094,0.47117877,0.05585885,0.07148103,0.05860121,0.03134444,0.05125950,5.29186457,3.66355670,0.00000000,150.72567201,0.00000000,164.94269400,-8.61937055
MIX_0001,0.30000000,0.00000000,0.00000000,0.02000000,1.40000000,30.00000000,0.00000000,100.00000000,40.53975500,3.51020400,174.04995900,0.24767553,1.07670356,0.47117877,0.05585885,0.07148103,0.05860121,0.03307511,0.05125950,5.79409106,4.66270853,0.00000000,159.83293709,0.00000000,174.04995900,-8.16835694
MIX_0002,0.30000000,0.00000000,0.00000000,0.02000000,1.70000000,30.00000000,0.00000000,100.00000000,49.46334700,3.69387800,183.15722400,0.24767553,1.07759618,0.47117877,0.05585885,0.07148103,0.05860121,0.03480579,0.05125950,6.29631759,5.66186040,0.00000000,168.94020318,0.00000000,183.15722500,-7.76219547
MIX_0003,0.30000000,0.00000000,0.00000000,0.02000000,2.00000000,30.00000000,0.00000000,100.00000000,58.38693900,3.87755100,192.26449000,0.24767553,1.07848880,0.47117877,0.05585885,0.07148103,0.05860121,0.03653646,0.05125950,6.79854408,6.66101223,0.00000000,178.04746827,0.00000000,192.26449000,-7.39451249
MIX_0004,0.30000000,0.00000000,0.00000000,0.03000000,1.10000000,30.00000000,0.00000000,100.00000000,30.90284500,5.04123700,165.94408200,0.24767553,1.08414413,0.47117877,0.05585885,0.07148103,0.05860121,0.04750137,0.05125950,5.31660940,3.66355667,0.00000000,151.72706082,0.00000000,165.94408200,-8.56735655
MIX_0005,0.30000000,0.00000000,0.00000000,0.03000000,1.40000000,30.00000000,0.00000000,100.00000000,39.78705200,5.31958800,175.10663900,0.24767553,1.08549687,0.47117877,0.05585885,0.07148103,0.05860121,0.05012415,0.05125950,5.82020225,4.66270861,0.00000000,160.88961895,0.00000000,175.10664000,-8.11906450
MIX_0006,0.30000000,0.00000000,0.00000000,0.03000000,1.70000000,30.00000000,0.00000000,100.00000000,48.67125800,5.59793800,184.26919600,0.24767553,1.08684961,0.47117877,0.05585885,0.07148103,0.05860121,0.05274692,0.05125950,6.32379500,5.66186040,0.00000000,170.05217508,0.00000000,184.26919600,-7.71535407
MIX_0007,0.30000000,0.00000000,0.00000000,0.03000000,2.00000000,30.00000000,0.00000000,100.00000000,57.55546400,5.87628900,193.43175300,0.24767553,1.08820235,0.47117877,0.05585885,0.07148103,0.05860121,0.05536969,0.05125950,6.82738779,6.66101223,0.00000000,179.21473221,0.00000000,193.43175300,-7.34988986
MIX_0008,0.30000000,0.00000000,0.00000000,0.04000000,1.10000000,30.00000000,0.00000000,100.00000000,30.17466700,6.79166700,166.96633300,0.24767553,1.09265094,0.47117877,0.05585885,0.07148103,0.05860121,0.06399490,0.05125950,5.34186983,3.66355677,0.00000000,152.74931364,0.00000000,166.96633400,-8.51490239
MIX_0009,0.30000000,0.00000000,0.00000000,0.04000000,1.40000000,30.00000000,0.00000000,100.00000000,39.01866700,7.16666700,176.18533300,0.24767553,1.09447338,0.47117877,0.05585885,0.07148103,0.05860121,0.06752836,0.05125950,5.84685736,4.66270860,0.00000000,161.96831382,0.00000000,176.18533400,-8.06935507
MIX_0010,0.30000000,0.00000000,0.00000000,0.04000000,1.70000000,30.00000000,0.00000000,100.00000000,47.86266700,7.54166700,185.40433300,0.24767553,1.09629582,0.47117877,0.05585885,0.07148103,0.05860121,0.07106182,0.05125950,6.35184488,5.66186043,0.00000000,171.18731399,0.00000000,185.40433400,-7.66811633
MIX_0011,0.30000000,0.00000000,0.00000000,0.04000000,2.00000000,30.00000000,0.00000000,100.00000000,56.70666700,7.91666700,194.62333300,0.24767553,1.09811826,0.47117877,0.05585885,0.07148103,0.05860121,0.07459528,0.05125950,6.85683241,6.66101226,0.00000000,180.40631417,0.00000000,194.62333400,-7.30488967
MIX_0012,0.30000000,0.00000000,0.00000000,0.05000000,1.10000000,30.00000000,0.00000000,100.00000000,29.43115800,8.57894700,168.01010500,0.24767553,1.10133683,0.47117877,0.05585885,0.07148103,0.05860121,0.08083566,0.05125950,5.36766197,3.66355671,0.00000000,153.79308548,0.00000000,168.01010500,-8.46200264
MIX_0013,0.30000000,0.00000000,0.00000000,0.05000000,1.40000000,30.00000000,0.00000000,100.00000000,38.23410500,9.05263200,177.28673700,0.24767553,1.10363886,0.47117877,0.05585885,0.07148103,0.05860121,0.08529898,0.05125950,5.87407361,4.66270854,0.00000000,163.06971771,0.00000000,177.28673700,-8.01922328
MIX_0014,0.30000000,0.00000000,0.00000000,0.05000000,1.70000000,30.00000000,0.00000000,100.00000000,47.03705300,9.52631600,186.56336800,0.24767553,1.10594089,0.47117877,0.05585885,0.07148103,0.05860121,0.08976230,0.05125950,6.38048527,5.66186043,0.00000000,172.34634993,0.00000000,186.56336900,-7.62047724
MIX_0015,0.30000000,0.00000000,0.00000000,0.05000000,2.00000000,30.00000000,0.00000000,100.00000000,55.84000000,10.00000000,195.84000000,0.24767553,1.10824292,0.47117877,0.05585885,0.07148103,0.05860121,0.09422562,0.05125950,6.88689687,6.66101221,0.00000000,181.62298115,0.00000000,195.84000000,-7.25950717
MIX_0016,0.30000000,0.00000000,0.15000000,0.02000000,1.10000000,30.00000000,0.00000000,100.00000000,31.61616300,3.32653100,164.94269400,0.24767553,1.07581094,0.47117877,0.05585885,0.07148103,0.05860121,0.03134444,0.05125950,5.30197706,3.66355670,0.00505624,150.94819478,0.00505624,164.94269400,-8.48446141
